game,player,hand,value,average face value,nil chance,misdeal,nil
0,north,AS 9S 7S 6S QH 9H 8H 7H AC TC 4C 5D 4D,7,0.42,8.38,False,True
0,east,LS 8S KH TH KC QC 8C 5C QD JD TD 6D 3D,10,0.16,9.77,False,False
0,south,DS KS TS 5S 4S JH 6H 5H JC 6C 3C AD 7D,6,0.49,8.46,False,True
0,west,BS QS JS 3S AH 4H 3H 9C 7C 2C KD 9D 8D,15,0.0,8.62,False,False
1,north,QH JH 9H 7H 8C 7C AD KD TD 7D 6D 5D 3D,0,1,8.62,True,True
1,east,BS DS 4S 3S 3H QC JC 6C 5C QD JD 8D 4D,6,0.0,8.54,False,False
1,south,JS 8S 7S 5S TH 8H 6H 5H AC KC TC 3C 9D,4,0.6,8.38,False,True
1,west,LS AS KS QS TS 9S 6S AH KH 4H 9C 4C 2C,19,0.0,9.69,False,False
2,north,BS AS JS 8S 3S 9H 8H 4H TC 8C AD 7D 3D,13,0.0,8.92,False,False
2,east,7S 6S KH 7H AC KC QC 7C 6C 4C QD 5D 4D,4,0.8,8.46,False,True
2,south,TS 9S 4S AH QH TH 6H JC 5C 3C 2C 9D 8D,2,0.8,7.92,False,True
2,west,LS DS KS QS 5S JH 5H 3H 9C KD JD TD 6D,11,0.03,9.92,False,False
3,north,KS QS 9S 6S 3S KH 9H 5H 4H AC TD 9D 7D,10,0.0,8.77,False,False
3,east,JS TS 8S 7S 8H 6H QC 8C 5C 2C AD QD 3D,5,0.6,8.15,False,True
3,south,LS 5S JH TH KC JC TC 9C 6C 4C 3C KD 6D,8,0.21,9.0,False,False
3,west,BS DS AS 4S AH QH 7H 3H 7C JD 8D 5D 4D,11,0.0,9.31,False,False
4,north,QS 9S 9H 8H AC 8C 7C 4C 3C KD TD 9D 6D,4,0.7,8.62,False,True
4,east,JS TS 7S 5H JC TC 9C 6C 2C JD 8D 4D 3D,0,0.96,7.46,False,True
4,south,DS AS 8S 5S KH 6H 3H KC QC 5C AD 7D 5D,14,0.34,9.23,False,False
4,west,BS LS KS 6S 4S 3S AH QH JH TH 7H 4H QD,13,0.0,9.92,False,False
5,north,BS LS JS TS 3S JH TH 9H 8H JC 3C JD 9D,11,0.0,9.92,False,False
5,east,9S 5S 4S AH 7H 3H AC KC QC TC 8C 6C AD,8,0.0,9.15,False,False
5,south,DS QS 8S 6S 4H 9C 7C 5C QD TD 6D 5D 4D,2,0.53,7.92,False,True
5,west,AS KS 7S KH QH 6H 5H 4C 2C KD 8D 7D 3D,9,0.05,8.23,False,False
6,north,QS JS AH KH JH TH 9H 7H 5H 7C 6C 8D 3D,2,0.31,8.92,False,True
6,east,QH 3H AC KC 8C 5C 4C AD KD JD 9D 6D 5D,0,0.96,9.0,True,True
